X2011_92926_H133A2_22883_DU09.06S07628.CEL	X2011_92937_H133A2_22884_DU09.06S06256.CEL	X2011_92946_H133A2_22885_DU09.06S06678.CEL	X2011_92938_H133A2_22886_DU09.06S06855.CEL	X2011_92962_H133A2_22887_DU09.06S07004.CEL	X2011_92956_H133A2_22888_DU09.06S07428.CEL	X2011_92954_H133A2_22889_DU09.06S13443.CEL	X2011_92951_H133A2_22890_DU09.06S13955.CEL	X2011_92996_H133A2_22891_DU09.06S13209.CEL	X2011_92958_H133A2_22892_DU09.06S13164.CEL	X2011_92934_H133A2_22893_DU09.06S13060.CEL	X2011_92971_H133A2_22894_DU09.06S12923.CEL	X2011_92975_H133A2_22895_DU09.06S15133.CEL	X2011_92989_H133A2_22896_DU09.06S15278.CEL	X2011_92987_H133A2_22897_DU09.06S09455.CEL	X2011_92981_H133A2_22898_DU09.06S15952.CEL	X2011_267095_HG.U133A_2_42021_DU09.06S16033.CEL	X2011_267096_HG.U133A_2_42022_DU09.06S09810.CEL	X2011_267175_HG.U133A_2_41930_DU09.06S10010.CEL	X2011_267097_HG.U133A_2_42023_DU09.06S12293.CEL
200067_x_at	11.0047147591105	10.8478570414544	11.1436727170514	10.772784385871	10.7439917403314	11.0807346024047	10.9459132390799	10.8390797826926	10.9242580397549	11.0431683595727	10.8141064952245	10.8240189850691	10.7433879728117	10.868669973642	10.9781813003979	10.8294085360232	10.4272743465568	10.6026700663301	10.5345798666827	10.7981534184857
200627_at	11.5480198747955	11.5965467368493	11.8102140962491	11.7863568289022	11.9062275362923	12.0315958582777	12.0117243539328	11.9891464276476	12.225724329016	12.1743223771016	11.8991120209137	11.6910350738507	11.7066916772904	11.6602299922885	11.7712056510037	12.1984321296445	10.5547929219083	10.7611436700643	11.1602342383727	10.5232836013079
200730_s_at	7.83454941835658	7.64490523074616	8.0510440269421	7.7164184582185	7.68627486723643	8.14775263692098	7.86515501605575	7.8669300123405	8.03255606274629	7.76141208491063	7.89506974768163	9.44208015517895	6.07191410625201	6.93294632033246	7.7855486899419	7.50554880919263	6.26475940291695	6.91452103292794	6.8422840962122	6.36788219381162
200752_s_at	9.36367852910032	9.34543750619568	9.26645857348381	9.52404468642542	9.37720757570059	9.25476611597141	9.29935604905257	9.33214233594046	8.9805812040982	9.13951427073091	9.35287891333193	9.66930909212283	9.39567820303127	9.40771763722074	9.36453925779733	9.0848159657333	9.11882701036136	9.17619595642529	9.10588886840684	8.94801401798039
200787_s_at	7.94135442211543	8.12660188214772	8.26954992658851	7.87033075143832	8.22557205777198	8.17035444381158	8.33359331903605	8.16439013483544	8.23771033782591	8.28391913558545	8.2193648156125	7.74228013201477	7.79657764814632	7.87842579014567	8.00790735593668	8.00194338080187	7.37936728733877	7.53533143081396	7.35118918787798	7.15334009063564
200792_at	11.1079141664459	11.3113695006753	11.405081573077	11.4684380048166	11.5587683195708	11.4832748315463	11.4508700337802	11.5854922651533	11.6047073339698	11.5655061758393	11.564007314846	11.4330768059219	11.5250891986621	11.5618518373111	11.4968531414164	11.6537464398743	11.3210111760792	11.0977518831098	11.0908780068268	10.8905237919221
200805_at	10.119664415624	10.2729486158313	9.97319466878421	9.94414290064421	10.0977382733592	9.94634164315857	9.84580311360151	9.91397074772734	10.0443777084295	10.0212524879126	9.99355373286962	9.86303713148972	9.96924871642386	9.82477035257637	9.8844665265599	9.94095852238253	9.22965077014901	9.43505063924946	9.31198386144793	9.26923439726168
200844_s_at	12.1566378873269	12.1658816709098	12.2101246252718	11.9105475264275	12.1777835918668	11.9092121522917	11.916890411494	11.8873455017479	11.9038766309811	11.8683003513573	12.2083733850042	12.023434209374	12.1001336828391	12.6535018996564	12.385814131236	11.9704864104777	12.375869339052	12.4157163877333	12.1317985757973	12.6122692772854
200862_at	5.76824080564127	6.19417788758669	6.07976034297991	6.33754037673931	6.52815946259328	6.44872824563782	6.41690928010429	6.36961044918791	6.47095559798544	6.22582129012218	6.62632141928126	6.44148748612227	6.24050904900774	6.5118067133715	6.20518149444919	6.22367307637321	6.53663822320527	6.46402602191527	6.18413727674023	6.0792170056576
200863_s_at	11.1922971165523	10.9141296905496	11.1625457208812	10.8097227202747	10.9388588893193	10.9604807616468	10.9609238164766	10.7832973850175	10.9905742512922	10.9078699908162	10.9160519016077	10.7714259786992	10.8205821820674	10.9307439223939	10.946022906672	10.7499130928082	10.2746003126	10.4255549847483	10.1408895830854	10.246907207304
200922_at	8.386186425515	8.4747481734303	8.33429296882438	8.61083630518521	8.47658598558043	8.56934569989352	8.65964286690475	8.67187463437819	8.36909360623498	8.51482485396861	8.49616308540245	8.56394362861785	8.32433263965036	8.39243407431035	8.44134342343468	8.22032557286123	8.1632931914783	8.06995902778533	8.23211592370276	8.01965828053832
200947_s_at	8.89257869893608	8.97133671191843	9.45616668888326	9.17644460572832	9.33374493099186	9.1410803790619	9.55994508338083	9.24893063423992	9.31659949587068	9.37681176008645	9.26890136063488	9.50070921166259	9.23595686392324	9.2765872748464	9.58988588939184	9.73285220726633	9.00377553725256	8.91132926887178	9.60159480440902	9.0900480354991
201019_s_at	9.83735531504646	10.3485987929169	10.347348087847	10.4466226204582	10.5465452800453	10.7008352305618	10.5129178396958	10.5912954753046	10.7818799321487	10.8963239864396	10.4937631336466	10.2543517151742	10.6186498619943	10.2009216260945	10.250680289778	10.9149402947352	9.72475579752941	9.51318205562346	10.0131556253939	9.34375345750622
201033_x_at	12.3896209121342	12.4197577162056	12.4976192505776	12.4278798339977	12.795075788405	12.7492577937757	12.7021986733204	12.7845121205968	13.1887249598156	13.0492883717312	12.5693559241898	11.5205756229481	12.686044700307	12.3704563290894	12.4900722044795	12.9599869361517	12.3211952718474	12.2680608228933	12.9492028837616	11.940882978992
201043_s_at	9.31039001495363	9.32818117434917	9.31849958795226	9.1032093036648	9.35121818790349	9.03322460682397	9.0045554249797	9.0164165308573	9.09705267833767	9.17617949644044	9.28526933766317	8.74346479808641	8.99385817450693	9.09526852600124	9.00856971091823	8.85274757285024	7.54442790979967	7.68220300288123	7.11384062763439	7.01317201720948
201076_at	9.27694405479561	9.44384751604516	9.49232364490599	9.53653405608468	9.77731559042835	9.5130446962214	9.55606919921755	9.68002175624105	9.48344930946304	9.70230749889079	9.64968718928116	9.32565237115541	9.69254666334312	9.64444550408806	9.4451254213489	9.71207858007193	9.89492956075318	9.6553288477394	9.7050712227259	9.51509301509289
201127_s_at	8.53172212082115	8.87142014922062	8.54299869437039	8.52048160330597	8.80044721686147	8.57610446365131	8.68878844357526	8.54523019372945	8.53281134079956	8.35211405596782	8.56492180759111	8.48668378284425	8.66897720150331	8.54882071953473	8.54629809724937	8.48132515909503	7.42384256327939	7.53920220667854	7.15923331617086	7.24495897546414
201141_at	4.05019373133789	4.40476266861875	4.05414675351235	4.10202375923749	4.24484828608184	4.04917193582035	4.4145494071433	4.19251574823351	4.41504785580016	4.02911155310485	4.34006792290644	4.12020638978886	4.33454654997924	4.08637418173405	4.42730736042519	4.06761362969213	4.36122083281853	4.31995444227057	4.32578576180187	4.08296912656785
201176_s_at	11.039789170849	11.0148314239008	10.8936676450005	11.026114329558	10.9775806418643	10.911707616242	10.9162639807883	10.9855752183535	10.8043629370036	10.8644556819411	10.998999651794	11.0291067754607	11.0818566489044	11.0057218242638	10.9658951283775	11.0623478244523	10.4177453337111	10.3729946612775	10.1611358613257	10.1639121673808
201223_s_at	9.51432941723553	9.90027917061723	9.86166371096088	9.57132368199334	9.4607986128086	9.92949088037538	9.91922434932294	9.77307907825892	9.5172582205093	9.58668494150163	9.73028583152279	9.90490476674922	9.31273556057514	9.56721013222776	9.66928974447988	9.57553441122806	8.78013343279221	8.96742238577503	8.67451981130814	8.89422443933803
