X2011_92937_H133A2_22884_DU09.06S06256.CEL	X2011_93001_H133A2_22820_DU09.06S07844.CEL	X2011_93002_H133A2_22836_DU09.06S07954.CEL	X2011_93003_H133A2_22868_DU09.06S07865.CEL	X2011_93004_H133A2_22852_DU09.06S07948.CEL	X2011_93015_H133A2_22916_DU09.06S06250.CEL	X2011_93080_H133A2_22964_DU09.06S07853.CEL	X2011_93081_H133A2_22900_DU09.06S07847.CEL	X2011_93082_H133A2_22932_DU09.06S07859.CEL	X2011_93083_H133A2_22948_DU09.06S07862.CEL	X2011_93092_H133A2_23044_DU09.06S06232.CEL	X2011_93093_H133A2_23012_DU09.06S06235.CEL	X2011_93162_H133A2_22980_DU09.06S07850.CEL	X2011_93163_H133A2_22996_DU09.06S07957.CEL	X2011_93177_H133A2_23076_DU09.06S06231.CEL	X2011_93178_H133A2_23092_DU09.06S06247.CEL	X2011_93179_H133A2_23060_DU09.06S06253.CEL	X2011_93241_H133A2_23124_DU09.06S07856.CEL	X2011_93242_H133A2_23108_DU09.06S06222.CEL	X2011_93303_H133A2_23140_DU09.06S06219.CEL	X2011_93304_H133A2_23188_DU09.06S07945.CEL	X2011_93305_H133A2_23172_DU09.06S06228.CEL	X2011_93306_H133A2_23156_DU09.06S06225.CEL
200067_x_at	10.8478570414544	11.0300976259963	10.8175519941003	10.7252412866392	10.9287220571455	10.910831419016	10.9265499926879	11.5010068881326	11.2146655084129	10.704907995736	10.1911407229423	10.8500701539352	10.7486640535194	11.6236025582532	11.0445952660154	10.6918320608419	10.7333892286336	11.1418348371666	10.674132272926	10.9639120130319	10.580700251588	10.7446752067542	10.6632063687559
200627_at	11.5965467368493	11.5648870718613	11.5260442759303	11.7584088884651	11.4851959086607	11.2729578992229	11.6414407894743	12.1715890529439	11.4284322022153	11.1794624444511	11.1967368354303	11.5955252732715	11.4313070963599	11.5468323932822	11.6058954544485	11.6092539528611	11.6713815242987	11.7930993303769	11.6803433102517	11.6308511418321	11.8191212872934	11.6320676408836	11.5772281560451
200730_s_at	7.64490523074616	7.16640208322479	8.66130918500065	7.28854753431651	7.1198437332855	6.76072420031176	6.74291256585543	7.96571105059487	6.56169469240378	6.86972826896737	5.75462614397107	7.11285372058983	6.69264115338165	6.5520247716384	6.86908184123356	6.36091068190757	6.89456410422093	7.99287948816554	6.7991089571817	6.93076353146001	7.14376910662169	7.98727904038076	6.57576579288673
200752_s_at	9.34543750619568	9.20878663403336	9.18007345592189	9.57135123702292	9.67925197161537	9.43713625018235	9.43392717339341	9.23453799777046	9.76466180512806	9.90961442567393	9.70172493418887	9.68911010961295	9.39891974899676	9.0200165059116	9.49714986245013	9.45036287045411	9.44530373299804	9.53407792341772	9.46743751025343	9.57499598679884	9.80512354635986	9.6448671591768	9.91047309953677
200787_s_at	8.12660188214772	7.5560146546101	8.07879628580242	7.94810174558001	7.23232741056504	7.89006263233705	7.61535128027325	7.90465983613384	7.93700789690539	7.91667811428522	7.35210041673464	7.56083074474213	7.68910775329217	7.44612434783125	8.39208132737837	7.88510468400003	8.49275087292792	8.03880999920726	7.54609347852019	8.13016939066934	8.25581241671521	7.42350017531883	8.04246219188825
200792_at	11.3113695006753	11.4103128340617	11.247767877647	11.266836623409	11.4822532313003	11.5150671214181	11.4906426364302	11.6449757844433	11.4967314102675	11.6515507728906	11.2641657512085	11.4544222591725	11.6228113190488	11.353760949019	11.361053227022	11.5839843862662	11.6450889318476	11.5371502526966	11.7675240853299	11.3561753236638	11.6429613781871	11.5413592705467	11.7001411401055
200805_at	10.2729486158313	9.75808324315869	9.98464411964095	9.67922284631489	9.66010032671026	9.75387402598637	9.87596455829918	9.75944952188895	9.87328278977779	9.84498694930383	9.88234027613804	9.74073586173488	9.88117060828045	9.61332027528005	9.91177088617036	9.757482473938	9.74331930168431	9.80677392032588	9.78201050782762	10.0268458256585	9.91510960787368	9.60442631543555	9.87611984256848
200844_s_at	12.1658816709098	12.5978699238588	12.2047429463078	12.3206117056023	12.7808699954308	12.7610045410362	12.9280634748234	12.63026743699	13.7712463309398	12.1903948638263	12.3984450382587	12.9651670084614	12.3563964126511	13.2122615532866	12.9409128644455	13.1578049801112	12.9597247419085	12.6088887698297	12.4208334898298	13.141686298898	12.4482081177796	12.8636863767946	12.4798217038867
200862_at	6.19417788758669	6.68325843395588	6.66148452309455	6.49223174180592	6.44902740437571	6.8117869325355	6.32386945060904	6.26433341434286	6.16058828897297	6.48702342028435	6.00543906939516	6.56157801113805	6.65240872069358	6.42453368597058	6.27764773304004	6.53286499154176	5.9716038350504	6.53281016178986	6.36189681631943	6.33686293189178	6.37258795733944	7.31084957656701	6.39382644608837
200863_s_at	10.9141296905496	10.7674791569782	10.8637415749265	10.7112010890412	10.675045001504	10.7613091995961	10.8191232538786	10.9045602901894	10.797933944203	10.7147284231904	10.6928984820888	10.7638861266475	10.7820961519953	10.8658196074332	10.8766906104036	10.7704748784816	10.8246581193877	11.0857147715822	10.7973891607647	10.9878940331564	10.9061494756391	10.8934925506007	10.6832063368727
200922_at	8.4747481734303	8.18149499184795	8.38011380187614	8.51754360932947	8.22567698099924	8.36552816087786	8.48409351679753	8.68188495014372	8.60200256000226	8.73614308452276	8.22817432299506	8.16437187867568	8.42961093327412	8.13896235387213	8.22044420815404	8.59932690922171	8.62198680203941	8.66941088081524	8.62793355125856	8.6175940598288	8.94361929486872	8.37363316173166	8.92276806767999
200947_s_at	8.97133671191843	9.2715237675779	9.20011375703835	9.4836075232364	9.28865236314086	9.1427992895375	9.17648349585449	9.69412220054624	9.15309083569215	8.85726874085405	9.11764731457208	8.6681491015046	9.10791000134465	9.11812530316612	9.62203432919671	9.40116553768766	9.22880496207035	9.03969828955623	8.97812320593344	9.29242691229297	9.24527172312561	9.07305447592231	9.09708755452161
201019_s_at	10.3485987929169	9.20987942182446	9.28559768234593	9.18373991888079	9.38979503866847	9.47366440581166	9.54888244890812	10.7979009477004	9.3147338918932	9.231016251174	8.7549489682853	10.0239670921095	9.89316486951535	10.2779372551823	9.29513998636942	9.52787502615929	9.66094016223203	10.0998928446974	10.1731762986404	9.33804001562904	9.48925002956079	9.82049770242147	9.53432285543307
201033_x_at	12.4197577162056	12.7722125761025	12.3992694888131	13.1436960024753	12.6469748173404	12.1639445194112	12.5010982662465	12.9565604500825	11.9747125170768	11.7882126711754	12.327806655709	12.0882198066484	12.129051408834	12.5558988427565	12.655075655815	12.6329235003537	12.7628968581262	12.7368618026173	12.4451157236801	12.7321578647186	12.7047592333341	12.8507920649615	12.5972760289266
201043_s_at	9.32818117434917	8.87143845816852	9.12363642208776	8.64013923976219	7.33451046373942	9.0628718239067	8.78821718925895	8.65437662840464	9.04216476105154	8.83608960920776	7.95170480775837	8.9666756003764	9.03723961797166	8.66115881339619	8.35928422285891	8.48866081859522	8.60235977990153	8.86451665626363	8.68304706899176	8.48919275218126	8.27255113441412	7.97710264972701	8.61336045344441
201076_at	9.44384751604516	9.47276223262942	9.04440870907682	9.59013844888929	9.41567912316719	9.17982297436539	9.36472334083866	9.65839187445436	9.42698930005262	9.39979499089388	9.32097323165222	9.5125042640311	9.50928796303152	9.3243896838386	9.22963882896805	9.54616883162508	9.57590826738759	9.44779560431644	9.5602612921592	9.54934854413829	9.72564194146515	9.6038971446898	9.79792626819379
201127_s_at	8.87142014922062	8.53077535094667	8.5709148125353	8.46180164767578	8.46395270930846	8.71158857379337	8.41851885288294	8.49122199120034	8.64751733543421	8.68195638080042	8.79499330810385	8.69909021817896	8.66606805729407	8.29340241797767	8.60325450562422	8.59737609901926	8.58515328148708	8.28247332853558	8.62045905853321	8.55963922661401	8.72735737977597	8.44226506921697	8.9678352464175
201141_at	4.40476266861875	4.19264132593422	4.1987893488382	4.2221821692987	4.43003184442347	4.1544874832998	4.37785773652377	4.24276406220647	3.95307820365688	4.14494983351356	4.30563064687327	4.18793097137318	4.10512087230361	3.96774365154829	4.00411176652578	3.88754299942592	4.51895324863965	4.3956022529645	4.39575023075329	3.98929244615807	4.97378070703252	4.04055686244413	4.30357252080321
201176_s_at	11.0148314239008	10.8086750614948	10.9905694779356	10.5891051817897	10.7453442758604	10.8676619755228	10.9190836698786	10.8836083248168	10.8447719760746	11.0319823329307	10.6551721016508	10.6812360846878	10.9841907085919	10.9103364125329	10.9750294186589	10.9790531778026	11.0198468113403	10.8887661953353	10.9054753665351	10.9206589354685	11.0474314923164	10.9856485031623	11.1165533618778
